日期,项目方,Chain,项目类型,损失金额($),漏洞类型,attack tx,Analyse,Reference Link
2022.12.5,RFB,BSC,,6k,Predicting Random Numbers,https://app.blocksec.com/explorer/tx/bsc/0xcc8fdb3c6af8bb9dfd87e913b743a13bbf138a143c27e0f387037887d28e3c7a,,
2022.12.5,BBOX,BSC,,12k,FlashLoan price manipulation,https://app.blocksec.com/explorer/tx/bsc/0xcc8fdb3c6af8bb9dfd87e913b743a13bbf138a143c27e0f387037887d28e3c7a,,
2022.12.2,OverNight,Avalanche,,170k,FlashLoan Attack,https://snowtrace.io/tx/0xf10807f9a675dd2db9a45e39f37c68a4116006f9a40e97a68c145e3859557809,,
2022.12.1,APC,BSC,,6k,FlashLoan & price manipulation,https://app.blocksec.com/explorer/tx/bsc/0xf2d4559aeb945fb8e4304da5320ce6a2a96415aa70286715c9fcaf5dbd9d7ed2,,
2022.11.29,MBC & ZZSH,BSC,,5.9k,Business Logic Flaw & Access Control,https://bscscan.com/tx/0xdc53a6b5bf8e2962cf0e0eada6451f10956f4c0845a3ce134ddb050365f15c86,,
2022.11.29,SEAMAN,BSC,,7k,Business Logic Flaw,https://bscscan.com/tx/0x6f1af27d08b10caa7e96ec3d580bf39e29fd5ece00abda7d8955715403bf34a8,,
2022.11.23,NUM,ETH,,13k,Protocol Token incompatible,https://app.blocksec.com/explorer/tx/eth/0x8a8145ab28b5d2a2e61d74c02c12350731f479b3175893de2014124f998bff32,,
2022.11.22,AUR,BSC,,13k,Lack of Permission Check,https://bscscan.com/tx/0x7f031e8543e75bd5c85168558be89d2e08b7c02a32d07d76517cdbb10e279782,,
2022.11.21,sDAO,BSC BSC,,13k,Business Logic Flaw,https://bscscan.com/tx/0xb3ac111d294ea9dedfd99349304a9606df0b572d05da8cedf47ba169d10791ed|https://bscscan.com/tx/0xb3ac111d294ea9dedfd99349304a9606df0b572d05da8cedf47ba169d10791ed,,
2022.11.19,AnnexFinance,BSC,,3k,Verify flashLoan Callback,https://bscscan.com/tx/0x3757d177482171dcfad7066c5e88d6f0f0fe74b28f32e41dd77137cad859c777,,
2022.11.17,UEarnPool,BSC,,24k,FlashLoan Attack,https://app.blocksec.com/explorer/tx/bsc/0xb83f9165952697f27b1c7f932bcece5dfa6f0d2f9f3c3be2bb325815bfd834ec,,
2022.11.16,SheepFarm,BSC,,0.8k,No input validation,https://bscscan.com/tx/0x5735026e5de6d1968ab5baef0cc436cc0a3f4de4ab735335c5b1bd31fa60c582,https://app.blocksec.com/explorer/tx/bsc/0x8b3e0e3ea04829f941ca24c85032c3b4aeb1f8b1b278262901c2c5847dc72f1c,,
2022.11.10,DFXFinance,ETH,,4m,Reentrancy,https://etherscan.io/tx/0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7,,
2022.11.8,Kashi,ETH,,110k,Price-caching Design Defect,https://etherscan.io/tx/0x7a845d8d2af7919f5b9e22dd5571305cb5347d17986a8402715c1463d515fc18,,
2022.11.7,MooCAKECTX,BSC,,140k,FlashLoan Attack,https://bscscan.com/tx/0x03d363462519029cf9a544d44046cad0c7e64c5fb1f2adf5dd5438a9a0d2ec8e,,
2022.11.5,BDEX,BSC,,9k,Business Logic Flaw,https://bscscan.com/tx/0xe7b7c974e51d8bca3617f927f86bf907a25991fe654f457991cbf656b190fe94,,
2022.10.27,VTF Token,BSC BSC,,50k,Incorrect Reward calculation,https://app.blocksec.com/explorer/tx/bsc/0xeeaf7e9662a7488ea724223c5156e209b630cdc21c961b85868fe45b64d9b086|https://bscscan.com/tx/0xeeaf7e9662a7488ea724223c5156e209b630cdc21c961b85868fe45b64d9b086,,
2022.10.27,Team Finance,ETH ETH,,15.8m,Liquidity Migration Exploit,https://etherscan.io/tx/0xb2e3ea72d353da43a2ac9a8f1670fd16463ab370e563b9b5b26119b2601277ce|https://etherscan.io/tx/0xb2e3ea72d353da43a2ac9a8f1670fd16463ab370e563b9b5b26119b2601277ce,,
2022.10.26,N00d Token,ETH,,29k,Reentrancy,https://app.blocksec.com/explorer/tx/eth/0x8037b3dc0bf9d5d396c10506824096afb8125ea96ada011d35faa89fa3893aea,,
2022.10.25,ULME,BSC,,250k,Access Control,https://github.com/SunWeb3Sec/DeFiHackLabs/tree/main/past/2022#20221105-bdex---business-logic-flaw,,
2022.10.24,Market,Polygon,,220k,Read-only Reentrancy,https://polygonscan.com/tx/0xb8efe839da0c89daa763f39f30577dc21937ae351c6f99336a0017e63d387558,,
2022.10.21,OlympusDAO,ETH,,292K,No input validation,https://etherscan.io/tx/0x3ed75df83d907412af874b7998d911fdf990704da87c2b1a8cf95ca5d21504cf,,
2022.10.20,HEALTH,BSC,,8k,Transfer Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0xae8ca9dc8258ae32899fe641985739c3fa53ab1f603973ac74b424e165c66ccf,,
2022.10.20,BEGO,BSC,,6k,Incorrect signature verification,https://bscscan.com/tx/0x2673936a1191a35c24b60dd697644c953da321b4395b836439faa319b8335886,,
2022.10.18,HPAY,BSC,,63k,Access Control,https://bscscan.com/tx/0x8385625e9d8011f4ad5d023d64dc7985f0315b6a4be37424c7212fe4c10dafe0,,
2022.10.17,Uerii Token,ETH,,2.4k,Access Control,https://etherscan.io/tx/0xf4a3d0e01bbca6c114954d4a49503fc94dfdbc864bded5530b51a207640d86b5,,
2022.10.14,EFLeverVault,ETH,,1m,Verify flashLoan Callback,https://etherscan.io/tx/0x160c5950a01b88953648ba90ec0a29b0c5383e055d35a7835d905c53a3dda01e,,
2022.10.14,MEVBOTa47b,ETH,,3m,MEVBOT a47b,https://etherscan.io/tx/0x35ecf595864400696853c53edf3e3d60096639b6071cadea6076c9c6ceb921c1,,
2022.10.12,ATK,BSC,,127k,FlashLoan manipulate,https://app.blocksec.com/explorer/tx/bsc/0x601b8ab0c1d51e71796a0df5453ca671ae23de3d5ec9ffd87b9c378504f99c32,,
2022.10.11,Templedao,ETH,,2.3m,Insufficient access control,https://etherscan.io/tx/0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,,
2022.10.10,Carrot,BSC,,31k,Public functionCall,https://bscscan.com/tx/0xa624660c29ee97f3f4ebd36232d8199e7c97533c9db711fa4027994aa11e01b9,,
2022.10.9,Xave Finance,ETH,,3m,Malicious Proposal Mint & Transfer Ownership,https://etherscan.io/tx/0xc18ec2eb7d41638d9982281e766945d0428aaeda6211b4ccb6626ea7cff31f4a,,
2022.10.6,Token,BSC,,,pair manipulate,https://bscscan.com/tx/0xe59fa48212c4ee716c03e648e04f0ca390f4a4fc921a890fded0e01afa4ba96d,,
2022.10.2,Transit Swap,BSC,,21m,Incorrect owner address validation,https://bscscan.com/tx/0x181a7882aac0eab1036eedba25bc95a16e10f61b5df2e99d240a16c334b9b189,,
2022.10.1,BabySwap,BSC,,,Parameter Access Control,https://app.blocksec.com/explorer/tx/bsc/0xcca7ea9d48e00e7e32e5d005b57ec3cac28bc3ad0181e4ca208832e62aa52efe,,
2022.10.1,Thunder Brawl,BSC,,,Reentrancy,https://bscscan.com/tx/0x57aa9c85e03eb25ac5d94f15f22b3ba3ab2ef60b603b97ae76f855072ea9e3a0,,
2022.9.28,BXH,BSC,,40k,Flashloan & Price Oracle Manipulation,https://bscscan.com/tx/0xa13c8c7a0c97093dba3096c88044273c29cebeee109e23622cd412dcca8f50f4,,
2022.9.28,MEVBOT,ETH,,1m,Badc0de,https://etherscan.io/tx/0x59ddcf5ee5c687af2cbf291c3ac63bf28316a8ecbb621d9f62d07fa8a5b8ef4e,,
2022.9.23,RADT-DAO,BSC,,94k,pair manipulate,https://bscscan.com/tx/0xd692f71de2768017390395db815d34033013136c378177c05d0d46ef3b6f0897,,
2022.9.13,MevBot,BSC,,140 K,private tx,https://bscscan.com/tx/0xd48758ef48d113b78a09f7b8c7cd663ad79e9965852e872fdfc92234c3e598d2,,
2022.9.9,DPC,BSC,,103k,Incorrect Reward calculation,https://bscscan.com/address/0x2109bbecB0a563e204985524Dd3DB2F6254AB419,,
2022.9.8,YYDS,BSC,,742k,pair manipulate,https://bscscan.com/tx/0x04a1f0d1694242515ecb14faa71053901f11a1286cd21c27fe5542f9eeb62356,,
2022.9.8,Ragnarok Online Invasion,BSC,,44k,Broken Access Control,https://app.blocksec.com/explorer/tx/bsc/0x0e14cb7eabeeb2a819c52f313c986a877c1fa19824e899d1b91875c11ba053b0,,
2022.9.8,NewFreeDAO,BSC,,1m,Flashloans Attack,https://bscscan.com/tx/0x1fea385acf7ff046d928d4041db017e1d7ead66727ce7aacb3296b9d485d4a26,,
2022.9.6,NXUSD,Avalanche,,50k,flashloan price oracle manipulation,https://snowtrace.io/tx/0x0ab12913f9232b27b0664cd2d50e482ad6aa896aeb811b53081712f42d54c026,,
2022.9.5,ZoomproFinance,BSC,,61k,Flashloans & Price Manipulation,https://bscscan.com/tx/0xe176bd9cfefd40dc03508e91d856bd1fe72ffc1e9260cd63502db68962b4de1a,,
2022.9.2,ShadowFi,BSC,,602k,Access Control,https://bscscan.com/tx/0xe30dc75253eecec3377e03c532aa41bae1c26909bc8618f21fb83d4330a01018,,
2022.9.2,Bad Guys by RPF,ETH,,,Business Logic Flaw : Missing Check For Number of NFT to Mint,https://etherscan.io/tx/0x27e64a8215ae1528245c912bcca09883fdd7cce69249bd5d5d1c0eecf5297b96,,
2022.8.24,LuckyTiger NFT,ETH,,,Predicting Random Numbers,https://etherscan.io/tx/0x804ff3801542bff435a5d733f4d8a93a535d73d0de0f843fd979756a7eab26af,,
2022.8.16,Circle,ETH,,151k,Price Manipulation,https://app.blocksec.com/explorer/tx/eth/0xf1818f62c635e5c80ef16b7857da812c74ce330ebed46682b4d173bffe84c666,,
2022.8.13,Circle,ETH,,50k,Price Manipulation,https://app.blocksec.com/explorer/tx/eth/0xa4e650772f6e6b7ecc0964fe4c3854850669d1467570a2fa2b6edfa0f112c4b7,,
2022.8.7,EGD Finance,BSC,,36k,Flashloans & Price Manipulation,https://app.blocksec.com/explorer/tx/bsc/0x50da0b1b6e34bce59769157df769eb45fa11efc7d0e292900d6b0a86ae66a2b3,,
2022.8.3,Qixi,BSC,,3k,Underflow,https://bscscan.com/tx/0x16be4fe1c8fcab578fcb999cbc40885ba0d4ba9f3782a67bd215fb56dc579062,,
2022.8.2,Nomad Bridge,Moonbeam ETH,,152m,Business Logic Flaw : Incorrect acceptable merkle-root,https://moonscan.io/tx/0xcca9299c739a1b538150af007a34aba516b6dade1965e80198be021e3166fe4c|https://etherscan.io/tx/0xa5fe9d044e4f3e5aa5bc4c0709333cd2190cba0f4e7f16bcf73f49f83e4a5460,,
2022.8.1,Reaper Farm,FTM,,1m,Business Logic Flaw : Lack of access control mechanism,https://ftmscan.com/tx/0xc929f3b9312ff26be0adb1c3ff832dbdafdcbcaad33d002744effd515e53c9d5,,
2022.7.23,Audius,ETH,,1m,Storage Collision & Malicious Proposal,https://etherscan.io/tx/0x4227bca8ed4b8915c7eec0e14ad3748a88c4371d4176e716e8007249b9980dc9,,
2022.7.13,SpaceGodzilla,BSC,,25k,Flashloans & Price Manipulation,https://bscscan.com/tx/0x7f183df11f1a0225b5eb5bb2296b5dc51c0f3570e8cc15f0754de8e6f8b4cca4,,
2022.7.10,Omni NFT,ETH,,1m,Reentrancy,https://etherscan.io/tx/0x05d65e0adddc5d9ccfe6cd65be4a7899ebcb6e5ec7a39787971bcc3d6ba73996,,
2022.7.6,FlippazOne NFT,ETH,,,Accesscontrol,https://etherscan.io/tx/0x8bded20c1db5a1d5f595b15e682a95ce11d3c895d6031147fa49c4ffa5729a30,,
2022.7.1,Quixotic,ETH,,100k,Optimism NFT Marketplace,https://optimistic.etherscan.io/tx/0x5dc519726e1236eb846271f6699e03cdd1a8fd593a2900c71cd2aabbdb7c92e6,,
2024.4.1,ATM,BSC,,182k,business logic flaw,https://bscscan.com/tx/0xee10553c26742bec9a4761fd717642d19012bab1704cbced048425070ee21a8a,,
2024.3.29,ETHFIN,BSC,,1k,Price Manipulation,https://app.blocksec.com/explorer/tx/bsc/0xfe031685d84f3bae1785f5b2bd0ed480b87815c3f23ce6ced73b8573b7e367c6,,
2024.3.29,PrismaFi,ETH,,11m,Insufficient Validation,https://app.blocksec.com/explorer/tx/eth/0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,,
2024.3.28,LavaLending,arbitrum,,340K,Business Logic Flaw,https://app.blocksec.com/explorer/tx/arbitrum/0xcb1a2f5eeb1a767ea5ccbc3665351fadc1af135d12a38c504f8f6eb997e9e603,,
2024.3.25,ZongZi,BSC,,223K,Price Manipulation,https://bscscan.com/tx/0x247f4b3dbde9d8ab95c9766588d80f8dae835129225775ebd05a6dd2c69cd79f,,
2024.3.21,SSS,Blast,,4m,Token Balance Doubles on Transfer to self,https://blastscan.io/tx/0x80012bf784b83baaf28f5549a9f233cae5f70be7afcd8f594dc757d431ed93c4,,
2024.3.24,ARK,BSC,,3k,business logic flaw,https://app.blocksec.com/explorer/tx/bsc/0xe8b0131fa14d0a96327f6b5690159ffa7650d66376db87366ba78d91f17cd677,,
2024.3.20,Paraswap,ETH,,24k,Incorrect Access Control,https://etherscan.io/tx/0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,,
2024.3.14,MO ,Optimism,,413k,business logic flaw,https://optimistic.etherscan.io/tx/0x4ec3061724ca9f0b8d400866dd83b92647ad8c943a1c0ae9ae6c9bd1ef789417,,
2024.3.13,IT,BSC,,13k,business logic flaw,https://bscscan.com/tx/0xb33057f57ce451aa8cbb65508d298fe3c627509cc64a394736dace2671b6dcfa,,
2024.3.12,BBT,ETH,,2k,business logic flaw,https://etherscan.io/tx/0x4019890fe5a5bd527cd3b9f7ee6d94e55b331709b703317860d028745e33a8ca,,
2024.3.11,Binemon,BSC,,1k,precission-loss,https://app.blocksec.com/explorer/tx/bsc/0x1999bb5c11a8d8bfa7620fc5cc37f5bc59c1a99d7a9250a8d6076c93bbdbeb5f,,
2024.3.9,Juice,ETH,,98k,Business Logic Flaw,https://etherscan.io/tx/0xc9b2cbc1437bbcd8c328b6d7cdbdae33d7d2a9ef07eca18b4922aac0430991e7,,
2024.3.6,ALP,BSC,,10K,Public internal function,https://bscscan.com/tx/0x9983ca8eaee9ee69629f74537eaf031272af75f1e5a7725911d8b06df17c67ca,,
2024.3.6,TGBS,BSC,,150K,Business Logic Flaw,https://bscscan.com/address/0xedecfa18cae067b2489a2287784a543069f950f4,,
2024.2.28,Seneca,ETH,,6M,Arbitrary External Call Vulnerability,https://app.blocksec.com/explorer/tx/eth/0x9f3712672be7a120757d42fbe15ceefe9578914946bacbd0f3531e7fb7305576,,
2024.2.28,SMOOFSStaking,Polygon,,,Reentrancy,https://polygonscan.com/tx/0xde51af983193b1be3844934b2937a76c19610ddefcdd3ffcf127db3e68749a50,,
2024.2.22,SwarmMarkets,ETH,,7k,lack of validation,https://app.blocksec.com/explorer/tx/eth/0xa4d7ee2ddb9db06961a17e2a5ae71743a266bcb720be138670f4a10e8dfc13e9,,
2024.2.21,DeezNutz 404,ETH,,,lack of validation,https://etherscan.io/tx/0xbeefd8faba2aa82704afe821fd41b670319203dd9090f7af8affdf6bcfec2d61,,
2024.2.21,GAIN,ETH,,11k,bad function implementation,https://app.blocksec.com/explorer/tx/eth/0x7acc896b8d82874c67127ff3359d7437a15fdb4229ed83da00da1f4d8370764e,,
2024.2.15,Babyloogn,BSC,,2k,reentrancy,https://app.blocksec.com/explorer/tx/bsc/0xd081d6bb96326be5305a6c00dd51d1799971794941576554341738abc1ceb202,,
2024.2.13,MINER,BSC,,,Price Manipulation,https://app.blocksec.com/explorer/tx/bsc/0x15ab671c9bf918fa4b6a9eed9ccb527f32aca40e926ede2aec2c84dfa9c30512?line=6,,
2024.2.11,Game,ETH,,37k,Reentrancy && Business Logic Flaw,https://etherscan.io/tx/0x0eb8f8d148508e752d9643ccf49ac4cb0c21cbad346b5bbcf2d06974d31bd5c4,,
2024.2.8,Pandora,ETH,,17K,interger underflow,https://app.blocksec.com/explorer/tx/eth/0x7c5a909b45014e35ddb89697f6be38d08eff30e7c3d3d553033a6efc3b444fdd,,
2024.2.5,BurnsDefi,BSC,,67K,Price Manipulation,https://app.blocksec.com/explorer/tx/bsc/0x1d0af3a963682748493f21bf9e955ce3a950bee5817401bf2486db7a0af104b4,,
2024.2.2,ADC ,BSC,,37k,incorrect-access-control,https://etherscan.io/tx/0xcf834aff4de9992f5da9c443600dad9c6277a8a00de5007842fece51564992db,,
2024.1.29,PeapodsFinance_exp,ETH,,1k,Reentrancy,https://app.blocksec.com/explorer/tx/eth/0x95c1604789c93f41940a7fd9eca11276975a9a65d250b89a247736287dbd2b7e,,
2024.1.22,DAO_SoulMate,ETH,,319K,Incorrect Access Control,https://etherscan.io/tx/0x1ea0a2e88efceccb2dd93e6e5cb89e5421666caeefb1e6fc41b68168373da342,,
2024.1.15,Shell_MEV_0xa898,BSC,,1k,loss of precision,https://app.blocksec.com/explorer/tx/bsc/0x24f114c0ef65d39e0988d164e052ce8052fe4a4fd303399a8c1bb855e8da01e9,,
2024.1.10,Freedom,BSC,,,Loss of Precision,https://app.blocksec.com/explorer/tx/bsc/0x309523343cc1bb9d28b960ebf83175fac941b4a590830caccff44263d9a80ff0,,
2024.1.2,MIC,BSC,,500K,Business Logic Flaw,https://bscscan.com/tx/0x316c35d483b72700e6f4984650d217304146b3732bb148e32fa7f8017843eb24,,
2024.1.1,OrbitChain,ETH ETH ETH ETH,,81M,Incorrect input validation,https://etherscan.io/tx/0x958aeec58ea2f0f9700adda24e43fb76f9e052e4c20773f180c49d7529d95f16|https://etherscan.io/tx/0xe0bada18fdc56dec125c31b1636490f85ba66016318060a066ed7050ff7271f9|https://etherscan.io/tx/0x64a6f486c20671e1389b3c7948d46733325c407245a86bf510cb69ef401a3f0e|https://etherscan.io/tx/0x639d27e564214411ad8eb06cf00d85cd90f83503a53ab5bf35dd5c6e1148ae0a,,
